id,emotion
1610045,neutral
1610038,neutral
1610024,neutral
1610007,neutral
1609987,neutral
1609976,neutral
1609967,neutral
1609956,neutral
1609946,positive
1609931,neutral
1609916,neutral
1609904,neutral
1609900,neutral
1609890,neutral
1609883,neutral
1609829,neutral
1609826,neutral
1609817,neutral
1609806,neutral
1609802,neutral
1609785,neutral
1609774,neutral
1609766,neutral
1609763,neutral
1609749,neutral
1609741,neutral
1609734,neutral
1609725,neutral
1609717,neutral
1609702,neutral
1609688,neutral
1609677,neutral
1609672,neutral
1609668,neutral
1609656,neutral
1609644,neutral
1609631,neutral
1609628,neutral
1609623,neutral
1609616,neutral
1609607,neutral
1609594,neutral
1609582,neutral
1609569,neutral
1609560,neutral
1609549,neutral
1609532,neutral
1609523,neutral
1609502,neutral
1609479,neutral
1609462,neutral
1609445,neutral
1609427,positive
1609421,neutral
1609409,neutral
1609399,neutral
1609386,neutral
1609374,neutral
1609363,neutral
1609350,neutral
1609343,neutral
1609260,neutral
1609256,neutral
1609249,neutral
1609240,neutral
1609219,neutral
1609208,neutral
1609195,neutral
1609185,neutral
1609176,neutral
1609171,neutral
1609159,neutral
1609146,neutral
1609141,neutral
1609127,neutral
1609116,neutral
1609106,neutral
1609099,neutral
1609089,neutral
1609073,neutral
1609065,neutral
1609054,neutral
1609046,neutral
1609039,neutral
1609029,neutral
1609013,neutral
1608990,neutral
1608974,neutral
1608956,neutral
1608953,neutral
1608940,neutral
1608921,neutral
1608912,neutral
1608897,neutral
1608887,neutral
1608870,neutral
1608850,neutral
1608838,neutral
1608827,neutral
1608819,neutral
1608810,neutral
1608807,neutral
1608798,neutral
1608792,neutral
1608776,neutral
1608770,neutral
1608718,neutral
1608711,neutral
1608696,neutral
1608667,neutral
1608655,neutral
1608639,neutral
1608626,neutral
1608593,neutral
1608567,neutral
1608549,neutral
1608530,neutral
1608510,neutral
1608491,neutral
1608484,neutral
1608473,neutral
1608457,neutral
1608446,neutral
1608434,neutral
1608424,neutral
1608398,neutral
1608395,neutral
1608385,neutral
1608377,neutral
1608367,neutral
1608356,neutral
1608346,neutral
1608331,neutral
1608323,neutral
1608301,neutral
1608295,neutral
1608264,neutral
1608251,neutral
1608244,neutral
1608229,neutral
1608219,neutral
1608208,neutral
1608201,neutral
1608191,neutral
1608172,neutral
1608162,positive
1608145,neutral
