id,cluster
1629024,2
1629017,0
1629006,2
1628991,0
1628976,2
1628960,2
1628948,0
1628942,2
1628934,1
1628928,0
1628919,2
1628905,2
1628891,2
1628873,2
1628861,0
1628847,0
1628829,0
1628812,0
1628800,2
1628778,2
1628755,1
1628741,2
1628726,1
1628710,0
1628680,2
1628656,2
1628630,2
1628615,1
1628598,2
1628569,0
1628556,1
1628551,2
1628543,0
1628530,0
1628521,2
1628449,2
1628437,1
1628427,2
1628401,0
1628389,2
1628373,2
1628360,2
1628343,2
1628328,2
1628318,2
1628305,0
1628292,0
1628272,0
1628263,0
1628255,2
1628244,1
1628234,0
1628218,2
1628199,2
1628186,1
1628172,2
1628162,2
1628147,2
1628134,0
1628110,2
1628105,0
1628096,2
1628080,0
1628065,2
1628060,2
1628044,2
1628026,2
1628019,2
1628000,2
1627991,2
1627980,2
1627958,2
1627943,2
1627933,2
1627921,2
1627911,0
1627903,2
1627888,2
1627880,2
1627867,2
1627862,2
1627788,2
1627781,1
1627773,2
1627758,2
1627744,0
1627733,2
1627714,0
1627703,2
1627695,0
1627682,0
1627671,2
1627661,1
1627654,1
1627642,2
1627627,2
1627612,0
1627600,2
1627585,2
1627578,2
1627571,2
1627563,0
1627555,0
1627548,2
1627535,0
1627528,0
1627524,2
1627510,0
1627496,1
1627488,2
1627478,2
1627448,1
1627426,2
1627415,0
1627399,0
1627381,2
1627359,0
1627337,2
1627310,2
1627285,2
1627276,2
1627258,2
1627242,0
1627223,2
1627216,2
1627205,0
1627201,2
1627145,2
1627136,2
1627122,2
1627104,2
1627079,2
1627060,0
1627038,2
1627023,2
1627015,2
1626994,2
1626978,1
1626965,2
1626959,2
1626949,1
1626943,2
1626926,2
1626916,0
1626910,2
1626902,2
1626890,2
1626885,2
1626876,0
1626866,2
1626851,2
1626842,0
1626821,0
1626808,2
1626800,1
1626787,2
1626784,2
1626770,2
1626747,2
1626738,0
1626731,0
1626720,2
1626709,2
1626690,1
1626679,2
1626662,2
1626643,0
1626633,2
1626621,2
1626602,2
1626594,1
1626586,2
1626582,0
1626536,2
1626525,2
1626509,2
1626491,0
1626466,2
1626450,0
1626438,0
1626425,2
1626419,2
1626408,2
1626394,0
1626383,1
1626368,0
1626359,2
1626349,2
1626337,0
1626326,2
1626304,1
1626278,2
1626263,0
1626255,2
1626243,0
1626234,2
1626221,1
1626215,2
1626207,2
1626198,1
1626186,0
1626176,0
1626166,2
1626154,2
1626135,0
1626100,2
1626081,2
1626070,2
1626059,1
1626044,2
1626033,2
1626008,0
1625994,0
1625975,2
1625950,1
1625927,2
1625917,0
1625893,0
1625881,2
1625871,2
1625868,1
1625793,2
1625784,1
1625772,0
1625767,2
1625756,2
1625735,0
1625721,2
1625706,2
1625697,1
1625679,1
1625670,2
1625657,2
1625641,0
1625636,2
1625634,2
1625617,2
1625596,1
1625572,0
1625562,1
1625554,2
1625544,2
1625535,2
1625518,2
